1,admonish,vt. 劝告， 训诫， 告诫，提醒，敦促
2,adverse,adj. 不利的；有害的；反面的
3,assail,vt. 猛烈攻击，言语抨击
4,baste,v. 疏缝    润以油脂， 涂以奶油
5,belligerent,adj. 好战的， 交战的， 交战国的 n. 交战者
6,compete,v. 竞争， 对抗
7,contend,vi. 奋斗，斗争，辩论 vt. 坚持认为，竞争
8,diverge,v. 分歧
9,divergent,adj. 分歧的
10,emulate,vt. 效法， 尽力赶上， 仿真 [计算机] 仿真
11,feud,n. 长期不和，争执 n. 封地 v. 长期斗争，结世仇
12,frown,n. 皱眉， 不悦 vt. &amp;vi. 皱眉头， 不同意
13,fulminate,v. 大声呵斥，强烈谴责，使爆发 n. 雷酸盐， 雷粉
14,hostile,adj. 怀敌意的，敌对的
15,impact,n. 冲击(力)， 冲突， 影响(力) vt. 挤入， 压紧; 撞击; 对...发生影响
16,offensive,adj. 令人不快的，侮辱的，攻击用的 n. 进攻
17,parallel,adj. 平行的，相同的，类似的，并联的 adv. 平行地 n. 平行线(面)，相似物，对比 vt. 相比，相应，与...平行
18,punch,n. 打洞器，钻孔机，殴打 n. 酒、水、糖等制成的鸡尾酒 vt. 以拳重击，开洞，剪票，按(键)
19,repel,v. 逐退， 使...厌恶， 反驳
20,repulse,n. 击退， 拒绝 vt. 逐退， 击退， 拒绝
21,repulsive,adj. 令人憎恶的;让人厌恶的;使人反感的；相斥的;排斥的;斥力的
22,rival,n.对手； 竞争者 vt.与…竞争； 比得上某人 vi.竞争 adj.竞争的
23,strife,n. 争吵，冲突，倾轧，竞争 n.
24,strike,n. 罢工， 打击， 殴打 v. 打， 撞， 罢工， 划燃
25,struggle,n. 竞争，努力，奋斗 v. 努力，奋斗，挣扎
26,tantalize,vi. 逗惹，吊胃口， 令人可望而不可及 vt. 使着急
27,thump,n. 重打，重击声 vt. 重打， 猛击 vi. 重击，发出重击声
