1,accomplished,adj. 娴熟的，有造诣的，完成的，有成就的，毫无疑问的 动词accomplish的过去式和过去分词
2,achieve,vt. 完成，达到，实现 vi. 达到目的
3,advance,n. 前进，进步，预支 vt. 前进，增涨，预先 vi. 前进，提升 adj. 预先的，提前的
4,beget,v. 产生，引起 vt. 产生，生(子女)
5,climax,n.顶点，极点； 高潮； 层进法； [生物学]顶极群落 vt.&amp; vi.达到顶点； 达到巅峰； 使达到高潮； 使达到性高潮
6,commence,v. 开始；着手；&lt;英&gt;获得学位
7,conclude,vt. 使结束， 缔结， 断定， 得出结论 vi. 结束， 作出决定
8,conclusive,adj. 决定性的， 确实的， 最后的
9,condition,n. 情况， 条件 v. 以...为条件， 决定， 支配， 训练
10,culmination,n. 顶点， 最高潮
11,develop,vt. 发展，开发，冲洗照片 vi. 进步
12,emerge,vi. 浮现， (由某种状态)脱出， (事实)显现出来
13,engender,v. 产生， 引起
14,eventual,adj. 最后的， 终于的， 可能的
15,exit,n. 出口，退场，离去 vi. 退出，死亡 vt. 离开
16,final,adj. 最后的 决定了的 n. 决赛，期末考试
17,foremost,adj. 最初的 adv. 在最前面
18,generate,vt. 产生，发生，引起 [计算机] 产生
19,halt,adj. 瘸的 n. 停止 vi. 跛行，犹豫，畏缩，停止 vt. 使...停止
20,headway,n. 前进， 航行速度， 进展，（前后两车间的）车间时距
21,incipient,adj. 起初的，发端的，初期的
22,initial,n. (词)首字母 adj. 开始的， 最初的， 字首的 vt. 签姓名的首字母于
23,initiate,n. 创始人 adj. 新加入的 vt. 开始，创始，启蒙，介绍加入
24,launch,n.&amp;amp;v. 下水，发射，开始，升天，汽艇
25,onset,n. 攻击， 进攻， 肇端
26,original,adj. 最初的， 原始的; 有独创性的， 原版的 n. 原件， 原稿; 有独创性的人， 怪人
27,originally,adv. 本来，原来，最初 重要的
28,peak,n. 山顶，顶点，帽舌 vi. 到达高点，消瘦 vt. 使到达顶峰，竖起 adj. 处于顶峰状态的
29,phase,n. 相， 相位，时期，局面，阶段 v. 逐步执行，实行，按计划进行
30,primary,n. 最主要者 adj. 主要的， 初期的， 根本的
31,proceed,vi. 继续进行; 开始， 着手
32,process,n.过程； 工序； 做事方法； 工艺流程 vt.加工； 处理； 审阅； 审核 vi.列队行进 adj.经过特殊加工（或处理）的
33,progress,n. 进步， 发展， 前进 vi. 促进，进步， 进行
34,result,n. 结果，成绩，答案 v. 产生，起于，致使
35,resume,v. 再继续， 重新开始  n. 简历， 履历; 摘要
36,status,n. 地位， 身份， 情形， 状况
37,successful,adj. 成功的，达到目的的
38,terminate,adj. 有结尾的，有限的 vt. 结束，终止，满期 vi. 达到终点
39,triumph,n. 凯旋，欢欣 vi. 得胜，成功，庆功
40,ultimate,n. 终极，根本，精华 adj. 终极的，根本的，极限的，最后的
41,vanish,vi. 消失，不见了，绝迹 vt. 消失
