1,babelism,n.混乱
2,bedlam,n. 混乱， 骚乱， 疯人院
3,befuddle,使昏乱
4,chaos,n. 混乱
5,clutter,vt. 弄乱，混乱 n. 杂乱
6,complex,adj. 复杂的 n. 复合体
7,complicate,vt. 弄复杂， 使错综， 使起纠纷
8,confuse,vt. 混乱，狼狈，困惑
9,disarray,v. 弄乱，使混乱，使脱去衣服 n. 无秩序，杂乱，不整齐的衣服
10,disorder,n. 杂乱，混乱 vt. 扰乱
11,intricate,adj. 复杂的，错综的，缠结的，难懂的
12,jumble,vi. 掺杂， 混杂 vt. 使混乱，搞乱 n. 混杂， 混乱 n. 环形小甜饼
13,muddle,n. 困惑， 混浊状态 vt.使混乱，使糊涂， 使惊呆 vi. 胡乱应付，混乱
14,pandemonium,n. 混战场， 喧哗吵闹
15,shuffle,n. 拖著脚走，洗纸牌 vt. &amp;vi. 拖曳，慢吞吞地走
16,tangle,n. 纠纷；混乱状态 vt. 使纠缠；处于混乱状态 vi. 缠结；乱作一团
17,turmoil,n. 骚动， 混乱
