1,active,adj. 积极的；活跃的；主动的；有效的；现役的 n. 主动语态；积极分子
2,coil,n. 卷，骚动，【电】线圈， 绕组 vt. &amp;vi. 盘绕，卷
3,concave,adj. 凹的，凹面的 n. 凹面，凹线，凹形
4,convex,adj. 中凸的， 凸圆的， 凸面的 n. 凸状， 凸面体， 凸透镜
5,dangle,v. 摇晃 地悬挂着
6,encompass,vt. 围绕(包围， 拥有， 完成)
7,hump,n. 驼背， 圆形隆起物， 土墩， 肿块， 碰撞 vt. 使隆起， 扛或背...， 驼背 vi. 碰撞， 敲击成圆丘形，弓起
8,pitch,n.场地； 最高点； 音高； 说教 vt.用沥青涂； 扔，投； 树起，搭起； 定位于 vi.抛，扔； [棒球]当投手； 搭帐篷； 向前跌或冲
9,project,n. 工程，项目，计划，事业 v. 计划，设计，表达 v. 投射，放映，凸出
10,protrude,v. 使突出，伸出，突出
11,regularly,adv. 定期地，有规律地
12,roll,vt.辗； 使（眼球等）左右转动； （使）原地转圈； 滚动 vi.左右摇晃； 翻滚； 开始移动，启动 n.名册； 滚翻
13,rotate,vt. &amp;vi. (使)旋转，轮流 adj. 车轮状的
14,slant,n. 倾斜，斜面，个人的观点或见解，倾向性，偏见 vt. 使倾斜，歪曲 vi. 倾斜
15,slope,n. 倾斜，斜坡，斜面，斜线 vt. 使倾斜 vi. 倾斜，有坡度
16,spin,n. 旋转， 疾驰 v. 纺织， 旋转， 拉长
17,stuffy,adj. (房间等)不通气的， (人或事物)沉闷乏味的， 自负的
18,tilt,vi. 倾斜；翘起；以言词或文字抨击 vt. 使倾斜；使翘起 n. 倾斜
19,tower,n. 塔，高楼，堡垒 vi. 屹立，超越
