1,abate,v. 缓和， 减弱
2,accumulate,vt. 积聚，累加，堆积 vi. 累积
3,amplification,n. 扩大， 扩充，膨胀 n. 详述， 引伸，推广 n. 增幅， 放大(率)， 放大倍数[系数]
4,amplify,v. 扩大， 详述， 使...增幅
5,ascent,n. 上升， 上坡路，晋升，提升，追溯
6,deform,v. 使...残缺， 使...变形
7,descent,n. 下落，家世，倾斜，侵袭
8,elevate,vt. 举起，提拔，素养提升，鼓舞 vi. 变高
9,enhance,vt. 提高，加强，增加
10,extend,v. 扩充， 延伸， 伸展， 扩展
11,extension,n. 延长，扩充，范围，分机号码
12,hike,n. 徒步旅行，远足，涨价 vi. 远足，提高 vt. 突然拉动或提高，涨...的价，徒步跋涉过
13,hoist,n. 升高，起重机，推动 v. 升起，升高，举起
14,sharpen,v. 使...尖锐， 变为锐利，加剧（苦痛等)
15,stretch,n. 伸展，张开 adj. 可伸缩的 vt. &amp;vi. 伸展，张开，延伸
16,transform,vt. 转换，变形 vi. 改变 n. 变形
