1,betray,vt. 误导，出卖，背叛，泄露 vi. 证明...错误
2,defection,n. 背叛， 脱党， 离会
3,havoc,n. 大破坏，混乱 vt. 破坏
4,insurgence,n. 起义(暴动， 造反)
5,overthrow,v. 推翻，打倒， 颠覆 n. 推翻， 瓦解， 颠覆
6,overturn,v. 推翻， 颠覆 n. 倾覆， 打翻， 革命
7,plot,n. 阴谋， 情节，图， (小块)土地， v. 绘图， 密谋， 计划，标示位置
8,rebel,n. 叛徒，起义者 vi. 造反，反抗，反感 adj. 造反的，反抗的，反叛者的
9,rebellion,n. 谋反， 叛乱， 反抗
10,revolt,n. 叛乱，反抗，反感 vi. 叛乱，起反感 vt. 使...恶心
11,riot,v.&amp;amp;n. 骚乱，闹事 vi. 闹事，骚乱
12,subvert,vt. 推翻， 颠覆， 毁减，使道德败坏或不忠
13,traitor,n. 叛徒， 卖国贼，出卖朋友者
14,treachery,n. 叛逆， 背叛， 变节
15,treason,n. 叛逆，通敌，背叛，叛国罪
16,turbulent,adj.骚乱的，混乱的； 激流的，湍流的； 吵闹的； 强横的
17,turmoil,n. 骚动， 混乱
18,upheaval,n. 举起， 隆起， 大变动
19,uprising,n. 起义， 升起 动词uprise的现在分词
20,uproar,n. 喧嚣，骚动
