1,absorb,v. 吸收，吸引...的注意，使全神贯注
2,absorbing,adj. 吸引人的， 非常有趣的 动词absorb的现在分词
3,addict,vt. 使...耽溺，使...上瘾 n. 耽溺者，上瘾者
4,addicted,adj. 沉溺于的，有毒瘾的
5,allure,v. 引诱， 吸引 n. 诱惑力，吸引力
6,attractive,adj. 有吸引力的， 引起注意的
7,bait,n. 饵，引诱 vt. 嘲笑，纵犬攻击，以饵引诱，放饵
8,catching,adj. 易传染的， 有魅力的， 迷人的 n. 捕捉 动词catch的现在分词形式
9,charisma,n. 非凡的领导力，教祖般的指导力，神授的能力
10,draw,v. (drew， drawn) 拉， 拖， 挨近， 提取， 画， 绘制 n. 平局; 抽签; 拉， 拽吸引人的事物
11,engross,v. 使全神贯注，独占，大量收购，正式誊写，用大字体书写 n.
12,engrossed,adj. 全神贯注的 动词engross的过去式和过去分词形式
13,enrapture,vt. 使狂喜，使出神
14,entice,v. 诱骗， 引诱
15,fascinating,adj. 迷人的
16,glamorous,adj. 富有魅力的，迷人的
17,glamour,n. 魔力， 魅力 v. 迷住
18,induce,vt. 引诱，导致，催生
19,intoxicate,vt. 下毒，使...陶醉 adj.
20,inviting,adj. 吸引人的， 诱人的 动词invite的现在分词
21,lure,n. 饵，诱惑 vt. 引诱，诱惑
22,magnetize,vt. 使磁化， 吸引，诱惑
23,tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
