1,abandon,n. 放纵 vt. 放弃，遗弃，沉溺
2,adopt,v. 采用， 收养， 接受
3,arrange,vt. 安排，整理，计划，改编(乐曲) vi. 协商，计划
4,bestow,vt. 授予，适用，利用
5,cancel,n. 取消，撤消 vt. 取消，删去， 约分 vi. 抵消
6,contrive,vt. 1. (不顾困难地)促成某事2. 巧妙地策划；精巧地制造（如机器） vi. 1. (不顾困难而) 设法做到(正式)
7,deal,n. 交易，协定，份量 v. (dealt，dealt[delt])处理，应付，分配
8,delete,vt. 删除
9,despatch,vt. 派遣 n. 派遣，处决，急件 =dispatch(美）
10,discard,n. 丢牌，废牌 vt. 丢弃，抛弃 vi. 丢牌
11,displace,v. 移置， 替换
12,dispose,vt. 倾向于，处置 vi. 销毁
13,dissipate,vt. 使...消散(浪费)
14,efface,vt. 擦掉， 抹去，冲淡（记忆），隐没
15,effectuate,vt. 使实现
16,eradicate,v. 根除， 扑减， 根绝
17,erase,v. 抹去，擦掉 [计算机] 擦除
18,exert,vt. 运用， 施加（压力，影响等）
19,forsake,v. 放弃， 断念， 抛弃
20,glean,v. 拾落穗， 收集
21,harness,n. 马具，系在身上的绳子，甲胄 vt. 束以马具，披上甲胄，利用(产生动力)
22,implement,n. 工具， 器具; 当工具的物品 vt. 实施， 执行; 向...提供工具(或手段)
23,jettison,n. 投弃；投弃货物 vt. 投弃（船舶遇难时投弃货物以为减轻负载）
24,process,n.过程； 工序； 做事方法； 工艺流程 vt.加工； 处理； 审阅； 审核 vi.列队行进 adj.经过特殊加工（或处理）的
25,purge,n. 整肃，清除，泻药，净化 vt. 净化，清除，摆脱 vi. 清除，通便，腹泻，变得清洁
26,reject,n. 被拒之人，不合格品，不及格者 v. 拒绝，驳回，丢弃
27,scrap,n.  小片，残余物，废料，打架 vt. 扔弃 vi. 互相殴打
28,shift,n. 交换，变化，移动，接班者 vt. 更替，移转，变声 vi. 改变，定责，更衣
29,tackle,n. 工具，复滑车，扭倒 vt. &amp;vi. 处理，抓住
30,transact,v. 办理， 交易，谈判 ，进行
31,undo,v. 解开，松开，取消
32,utilize,vt. 利用
