1,balk,v. 阻止， 突然停止， 退缩，拒绝 n. 障碍， 错误， 失败 n.梁木 [棒球]佯投，犯规动作，[游戏]开球区
2,barricade,n.路障，街垒，障碍物，栅栏 （复数）barricades:有激烈争论的领域或议题 v.设路障挡住，阻拦，封锁
3,barrier,n. 界线，屏障，障碍物 v. 以屏障隔开
4,block,n.块； 街区； &lt;英&gt;大楼，大厦； 障碍物，阻碍 vt.阻止； 阻塞； 限制
5,clog,n. 累赘，有木跟的鞋子 vt. 阻塞，妨碍，超载 vi. 阻塞，结块，跳木屐舞
6,conciliatory,adj. 调和的，安抚的
7,encumber,v. 妨害， 阻害
8,foil,n. 箔，箔纸，陪衬物，（击剑运动用的）花剑， 钝头剑 vt. 衬托，挫败
9,forestall,vt. 领先， 占先一步， 先发制人
10,hamper,n. 食盒，食篮 v. 阻碍，使...困累，困累
11,handicap,n. 障碍赛，障碍 vt. 加障碍物，妨碍
12,hinder,adj. 后面的 vt. 阻碍，打扰 vi. 阻碍
13,hurdle,n. 栏干，障碍 [计算机] 障碍 vt. 跨越某物
14,incapacitate,v. 使不能， 使不适于 vt. 使不能
15,intercede,v. 仲裁， 说项
16,intercept,n. 截取，妨碍，截距 v. 拦截，阻止，截取 [计算机] 截断
17,interfere,vi. 妨碍，冲突，干涉
18,intervene,vi. 插入，介入，干涉，调停 [计算机] 介入
19,meddle,vi. 干预，干涉，插手
20,mediate,adj. 居间的，间接的 vt.&amp; vi. 斡旋，调停
21,obstacle,n. 障碍，绊脚石
22,obstruct,v. 阻隔， 妨碍， 阻塞
23,prevent,v. 预防， 防止
24,snag,n. (隐伏的)障碍，残桩，划破处，抽丝处 v. 划破，碰到（暗礁或枯树上），清除（暗礁等），迅速抓到
25,stunt,n. 特技， 阻碍成长 vt. 阻碍成长， 表演特技
26,tamper,v. 干预， 玩弄， 贿赂
