1,bare,adj. 赤裸的，显露的，极少的，仅仅的 vt. 使赤裸，露出
2,betray,vt. 误导，出卖，背叛，泄露 vi. 证明...错误
3,denote,vt. 象征，表示
4,divulge,v. 泄露， 暴露
5,exhibit,n. 展览品，展览，物证 vt. 展览，展现，显出(感情或品质)，提出证据 vi. 展览
6,expose,vt. 暴露，揭穿，使遭受（危险或不快）
7,exposure,n. 面临（困难），显露，暴露，揭露，曝光
8,implicit,adj. 暗示的，盲从的 [计算机] 隐式
9,indicate,v.指明， 表明， 显示， 象征， 指示
10,leak,n. 漏洞 v. 漏，泄漏 vi. 漏，渗
11,profess,v. 声称， 冒称，以...为业，正式接受入教，表明信仰
12,reflection,n. 反映，映像，折射，沉思，影响
13,reveal,vt. 显示， 透露 n. (外墙与门或窗之间的)窗侧， 门侧 n. (汽车的)窗框
14,revelation,n. 揭露，泄露，发觉
15,show,n. 显示，表现，表演，事情 vt. &amp;vi. 表示，显现，展现，指示
16,signify,v. 象徵， 预示
17,transpire,v.1. 使...蒸发，排出 2.泄露、为人所知 3.发生
18,unveil,vt. 揭开，公布 vi. 揭开
