1,bondage,n. 奴役， 束缚
2,bound,n. 跳跃，界限，范围 adj. 必定的，受约束的，装订的，有义务的 vt. 跳跃前进，形成界限
3,check,vt.检查，核对； 制止，抑制； 在…上打勾 vi.核实，查核； 中止； 打勾； [象棋]将一军 n.&lt;美&gt;支票； 制止，抑制； 检验，核对
4,circumscribe,vt. 在...周围画线， 限制
5,confine,vt. 限制，闭居  n. 边界， 约束， 范围， 限制
6,constrain,vt.强迫； 强使； 限制； 约束
7,curb,n. 抑制，勒马绳，边石，路缘 vt. 抑制，束缚， 牵(狗)到合适地方大小便
8,deterrent,adj. 制止， 防止， 挽留 n. 挽留的事物， 妨碍物
9,fetter,v. 加脚镣，束缚 vt.&amp;amp;n. 脚镣，束缚
10,imprison,v. 使...下狱，关闭，拘禁
11,leash,n. (系狗的)皮带， 控制， 约束 n. （打猎用语）三只， 三个一组 v. 用皮带控制， 束缚
12,limitative,adj.限制的，限定的
13,quell,v. 压制， 平息， 镇定
14,restrain,vt. 抑制，阻止，束缚，剥夺
15,restrict,v. 限制，约束
16,shackle,n. 桎梏， 束缚物 v. 加桎梏， 加枷锁， 束缚
17,temperance,n. 1. 节制(尤指饮食)；节欲 2. 戒酒
18,trammel,n. 网，马梏，横木规，椭圆规，量规 （复）trammels: 束缚 vt. 束缚，妨害，用网捕
