1,breach,n.  裂口，违背， 冲击， 决裂 vt. 违反，在...上打开缺口， 突破 vi. 跃出水面
2,breakdown,n. 崩溃，故障，分类，腐烂，失败，一种街舞
3,collapse,n. 崩溃，倒塌，暴跌 vi. 倒塌，崩溃，瓦解，折叠 vt. 倒塌，缩减
4,crash,v. 撞碎， 猛使...破碎， 迫降，发出巨响 n. 轰隆声， 猛撞， 崩溃， 破产， 垮台 adj. 速成的 n. 粗布
5,crumple,v.（使)起皱，(使)崩溃 n. 压痕，皱痕
6,crush,n. 压碎， 拥挤的人群， 迷恋， 关键时刻， 果汁， 榨汁酿酒 vt. 压破， 征服， 挤入， 镇压 vi. 被压碎， 挤
7,demolish,v. 毁， 破坏， 粉碎
8,devastate,vt. 毁坏，使震惊
9,devastation,n. 破坏， 劫掠
10,devour,vt. 吞食，耗尽，吞没，贪婪的享用
11,disfigure,vt. 使丑陋， 损毁(外貌)
12,disintegration,n. 瓦解
13,disrupt,adj. 分裂的，分散的 v. 使...分裂，使...瓦解
14,engulf,v. 吞没
15,fracture,n. 破碎，骨折 vt. 破碎，破裂 vi. 断裂
16,fragment,n. 碎片 vt. &amp;vi. 变成碎片 [计算机] 碎片
17,frustrate,vt. 挫败，击败，破坏 adj. 无益的，挫败的，挫折的
18,mangle,vt. 碾压(损坏，乱切) n. 碾压机
19,ravage,n. 破坏， 蹂躏 v. 毁坏， 破坏， 掠夺
20,raze,vt. 摧毁，消除， 抹去
21,rupture,n. 破裂， 断裂 v. 使破裂
22,scrap,n.  小片，残余物，废料，打架 vt. 扔弃 vi. 互相殴打
23,shatter,n. 碎片，乱七八糟的状态 vt. 打碎，破掉，散开 vi. 打破，脱落
24,smash,n. 破碎，大败，冲突 adj. 非常的，了不起的 v. 粉碎，溃裂，使破产 [羽]扣球
25,spoil,n. 战利品， 奖品 v. 宠坏， 溺爱， 破坏， 腐坏
26,squash,n. 壁球，摺皱不堪，拥挤嘈杂的人群，浓缩果汁，美国南瓜  vt. 压扁，压制  vi. 变扁，压榨
