1,baffle,v. 困惑， 为难
2,bewilder,vt. 使迷惑，使...不知所措
3,bewitch,vt. 蛊惑， 使着迷
4,blur,vt.&amp; vi. 使...模糊，弄脏 n. 污点，模糊
5,captivate,v. 迷住， 迷惑
6,confound,vt. 使困惑， 混淆， 挫败，诅咒 vt.
7,dazzle,v. 使眼花，使惊奇，目眩，耀眼 n. 耀眼的光，令人惊叹的事物
8,delude,vt. 欺骗，迷惑， 蛊惑
9,elude,v. 逃避， 躲避
10,enigma,n. 费解的事情，谜，谜一般的人
11,enigmatic,adj. 谜的， 莫明其妙的， 不可思议的
12,entangle,vt. 使...纠缠， 使...复杂，卷入， 使...混乱
13,enthrall,v. 迷住，迷惑， 奴役
14,equivocal,adj. 意义不明确的， 模棱两可的
15,fascinate,vt. 使...入迷，吸引住 vi. 有吸引力
16,glamour,n. 魔力， 魅力 v. 迷住
17,hypnotize,vt. 施催眠术， 使恍惚， 使着迷
18,labyrinth,n. 迷宫，难解的事件
19,maze,n. 迷宫，曲径，迷惑 vt. 使迷惑
20,perplex,v. 使...困惑， 使...更复杂， 使...为难
21,riddle,n. 谜，谜语 vt. 解谜，出谜题，充满，打洞，筛选 vi. 出谜题
22,tangle,n. 纠纷；混乱状态 vt. 使纠缠；处于混乱状态 vi. 缠结；乱作一团
