1,accredit,vt. 归咎于，授权，委派，鉴定合格
2,appoint,vt. 任命，指定，预约，装饰 vi. 行使任命权
3,assign,v. 分配，指派 n.[计算机] DOS 命令将驱动器符重指向第二个驱动器符
4,bidding,n. 命令，要求，投标，出价 动词bid的现在分词形式
5,command,n.命令，指挥； 司令部，指挥部； [计算机]指令； 控制力 vt.指挥，控制，命令； 命令； 应得，值得 vi.给出命令； 命令，指令 adj.指挥的，根据命令（或要求）而作的
6,decree,n. 法令，判决，天意 vt. 通过法令颁布，裁定
7,designate,adj. 指定的 vt. 指定，选派，标明
8,dispatch,n. 派遣；急件 vt. 派遣；分派
9,expedite,vt. 加快，促进
10,imperative,n. 命令， 诫命， 需要 adj. 命令式的， 急需的
11,instruct,v. 教， 命令， 指导 [计算机] 指示
12,mandatory,adj. 命令的， 强制性的， 受委托的 n. 受托管理者
13,nominate,vt. 提名， 指派， 登记赛马参加比赛
14,prescription,n. 药方， 对策， 开处方
