1,berate,vt. 严责
2,blame,n. 过失，责备 vt.把...归咎于，责备
3,castigate,v. 惩罚，苛评， 惩治， 严厉批评; 谴责
4,censure,n. 责难， 非难 v. 非难， 责备，公开谴责
5,chide,vi. 斥责，指责 vt.(温和地）责备
6,condemn,vt. 判刑， 谴责， 官方宣称（某事物）有缺陷或不宜使用
7,critical,adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
8,culpable,adj. 该责备的，有罪的，不周到的
9,decry,v. 责难， 诽谤
10,denounce,v. 告发， 公然抨击
11,deprecate,v. 声明不赞成， 抨击， 反对
12,rap,n. 轻敲，拍击，责骂，厉声说出，说唱音乐，谈话，最少量 vi. 轻敲， 敲门，表演说唱音乐， 畅谈 vt.抓，抢，拍击
13,rebuke,v. 斥责， 指责，阻止 n. 指责， 谴责， 非难
14,reprimand,v.&amp;amp;n. 训诫，谴责 vt. 责难 n.申诉
15,reproach,n. 责备， 耻辱 v. 责备， 申斥
16,reprove,v. 责备， 责骂， 非难
17,repudiate,v. 拒绝， 拒付， 拒绝履行
18,revile,v. 辱骂， 斥责
19,upbraid,v. 斥责，责骂 vt. 责备
